Cod_Municipio_TSE;IBGE;IBGE_6;Cod_Municipio;Nome_Municipio;Capital;Munic_sem_acento;UF;Cod_UF;Nome_UF;Populacao_2010;Eleitores_2014;Regiao;Cod_Mesorregiao;Nome_Mesorregiao;Cod_Microrregiao;Nome_Microrregiao
1120;1200013;120001;13;Acrelândia;;ACRELANDIA;AC;12;Acre;12538;9144;Região Norte ;2;Vale do Acre;12004;Rio Branco
1570;1200054;120005;54;Assis Brasil;;ASSIS BRASIL;AC;12;Acre;6075;5189;Região Norte ;2;Vale do Acre;12005;Brasiléia
1058;1200104;120010;104;Brasiléia;;BRASILEIA;AC;12;Acre;21438;17131;Região Norte ;2;Vale do Acre;12005;Brasiléia
1007;1200138;120013;138;Bujari;;BUJARI;AC;12;Acre;8474;6902;Região Norte ;2;Vale do Acre;12004;Rio Branco
1015;1200179;120017;179;Capixaba;;CAPIXABA;AC;12;Acre;8810;6941;Região Norte ;2;Vale do Acre;12004;Rio Branco
1074;1200203;120020;203;Cruzeiro do Sul;;CRUZEIRO DO SUL;AC;12;Acre;78444;51483;Região Norte ;1;Vale do Juruá;12001;Cruzeiro do Sul
1112;1200252;120025;252;Epitaciolândia;;EPITACIOLANDIA;AC;12;Acre;15126;10412;Região Norte ;2;Vale do Acre;12005;Brasiléia
1139;1200302;120030;302;Feijó;;FEIJO;AC;12;Acre;32311;18597;Região Norte ;1;Vale do Juruá;12002;Tarauacá
1104;1200328;120032;328;Jordão;;JORDAO;AC;12;Acre;6531;4312;Região Norte ;1;Vale do Juruá;12002;Tarauacá
1090;1200336;120033;336;Mâncio Lima;;MANCIO LIMA;AC;12;Acre;15246;10822;Região Norte ;1;Vale do Juruá;12001;Cruzeiro do Sul
1554;1200344;120034;344;Manoel Urbano;;MANOEL URBANO;AC;12;Acre;7989;5993;Região Norte ;2;Vale do Acre;12003;Sena Madureira
1040;1200351;120035;351;Marechal Thaumaturgo;;MARECHAL THAUMATURGO;AC;12;Acre;14200;8799;Região Norte ;1;Vale do Juruá;12001;Cruzeiro do Sul
1511;1200385;120038;385;Plácido de Castro;;PLACIDO DE CASTRO;AC;12;Acre;17203;12521;Região Norte ;2;Vale do Acre;12004;Rio Branco
1023;1200807;120080;807;Porto Acre;;PORTO ACRE;AC;12;Acre;14806;11435;Região Norte ;2;Vale do Acre;12004;Rio Branco
1066;1200393;120039;393;Porto Walter;;PORTO WALTER;AC;12;Acre;9172;5445;Região Norte ;1;Vale do Juruá;12001;Cruzeiro do Sul
1392;1200401;120040;401;Rio Branco;Sim;RIO BRANCO;AC;12;Acre;335796;232073;Região Norte ;2;Vale do Acre;12004;Rio Branco
1082;1200427;120042;427;Rodrigues Alves;;RODRIGUES ALVES;AC;12;Acre;14334;9733;Região Norte ;1;Vale do Juruá;12001;Cruzeiro do Sul
1031;1200435;120043;435;Santa Rosa do Purus;;SANTA ROSA DO PURUS;AC;12;Acre;4612;2784;Região Norte ;2;Vale do Acre;12003;Sena Madureira
1457;1200500;120050;500;Sena Madureira;;SENA MADUREIRA;AC;12;Acre;37993;25966;Região Norte ;2;Vale do Acre;12003;Sena Madureira
1538;1200450;120045;450;Senador Guiomard;;SENADOR GUIOMARD;AC;12;Acre;20153;16635;Região Norte ;2;Vale do Acre;12004;Rio Branco
1473;1200609;120060;609;Tarauacá;;TARAUACA;AC;12;Acre;35526;23060;Região Norte ;1;Vale do Juruá;12002;Tarauacá
1490;1200708;120070;708;Xapuri;;XAPURI;AC;12;Acre;16016;11347;Região Norte ;2;Vale do Acre;12005;Brasiléia
27014;2700102;270010;102;Água Branca;;AGUA BRANCA;AL;27;Alagoas;19376;13647;Região Nordeste;1;Sertão Alagoano;27001;Serrana do Sertão Alagoano
27030;2700201;270020;201;Anadia;;ANADIA;AL;27;Alagoas;17423;12016;Região Nordeste;3;Leste Alagoano;27012;São Miguel dos Campos
27057;2700300;270030;300;Arapiraca;;ARAPIRACA;AL;27;Alagoas;214067;128811;Região Nordeste;2;Agreste Alagoano;27006;Arapiraca
27073;2700409;270040;409;Atalaia;;ATALAIA;AL;27;Alagoas;44379;28032;Região Nordeste;3;Leste Alagoano;27009;Mata Alagoana
27090;2700508;270050;508;Barra de Santo Antônio;;BARRA DE SANTO ANTONIO;AL;27;Alagoas;14228;9806;Região Nordeste;3;Leste Alagoano;27011;Maceió
27111;2700607;270060;607;Barra de São Miguel;;BARRA DE SAO MIGUEL;AL;27;Alagoas;7573;5612;Região Nordeste;3;Leste Alagoano;27011;Maceió
